,tweet,reply1,reply2,reply3,reply4,reply5,reply6,reply7,reply8,reply9,reply10,reply11,reply12,reply13,reply14,reply15,reply16,reply17,reply18,reply19,reply20,reply21,reply22,reply23,reply24,reply25,reply26,reply27,reply28,reply29,reply30,reply31,reply32,reply33,reply34,reply35,reply36,reply37,reply38,reply39,reply40,reply41,reply42,reply43,reply44,reply45,reply46,reply47,reply48,reply49,reply50,reply51,reply52,reply53,reply54,reply55,reply56,reply57
20,СК возбудил уголовное делопо факту деятельности лишенного регистрации правозащитного центра «Вясна». ПЦ выступил с… https://t.co/C3gSCoVYuD,"@tutby СК, че слышно по реальным приступникам? Дрпустим тем кто работает в @asb_belarusbank и слывает конфеденциаль… https://t.co/rBF0D5kkj1","@tutby Ну этому ""мощному старику"" не привыкать. Это его профессиональная деятельность, начиная с 96 года. За что по… https://t.co/5u8ZDHTbKN","@tutby Это давно известно..
Ну типа люди сами вышли
Деньги сами к ним пришли","@tutby Вспомнил старый анекдот. Как раз про ненасильственные действия…

Новости: В стране Х был совершён переворот… https://t.co/FclEKidn58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Бывший следователь Андрей Остапович создал инициативу бывших силовиков, которые собирают информацию о тех, кто заде… https://t.co/wl26Oz7jzQ","@tutby Много воды и как всегда - ни о чём. 
Обиженные жизнью ебланы, променявшие честь и совесть на обивание порого… https://t.co/19aUaQHprK",@tutby Как и во времена Великой отечественной белорусские полицаи тут как тут со своей фашистской тряпкой. https://t.co/ADXWtfXB8A,"@tutby Главное, чтобы все это говно не ушло от ответа","@tutby Как BYpol в Варшаве моют пол...
На другую работу беглых не берут🤷🏻

Можете посмотреть их последнее секретное… https://t.co/1bD5H6INT5","@tutby Тутки, а как-же насилуют в загаловке?  Как же вы так, лапухнулись?  Срочно дополнить, а то не тот эффект","@tutby Хахахаха
Остапович 🤦🏻‍♀️ хаха.

Совсем никуда не устроился что ли.
Великий следователь 🤦🏻‍♀️
Даже на клубник… https://t.co/pVdtBznJIM","@tutby Ничего нового с той войны не происходит. До середины 50-ых гитлеровских бчбесов по лесам отлавливали, да не… https://t.co/52RHyieW7t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Министр иностранных дел Литвы прокомментировал просьбу Генпрокуратуры РБ о выдаче Светланы Тихановской. https://t.co/lXV1lC3YyN,"@tutby Когда солнце взойдёт на западе и зайдёт на востоке, когда высохнут реки и горы полетят по ветру как листья,… https://t.co/hxmygbwbq3","@tutby 🇱🇹
👍👍👍","@tutby Моё безграничное уважение этому человеку👏🏻👏🏻👏🏻 
Интересно, как это - иметь адекватную власть в стране?","@tutby @3JiFP2iqG1VrZls Почему бы и нет, в обмен на лукашенко, для Гаагского трибунала ,по запросу Тихановской, зак… https://t.co/XwkPVGA3bS","@tutby @sashasuhanov Мне кажется самое время Белоруси отправить Лукашенко в ад, следить за климатическими условиями.","@tutby Молодцы! Как этому белорусскому шведу: по сусалам ему, по сусалам!",@tutby @deforest411 красавы!,"@tutby ""Lithuania does not extradite people undergoing political prosecution""

🇱🇹 💞 ⬜️🟥⬜️

Just like the election r… https://t.co/hFua4K8hiu","@tutby ад пуст, все бесы тут","@tutby @mazepa_karatel Как гражданин поддерживаю! Вас спасет только пересчет голосов,граждане бандиты!",@tutby Хороший ответ . Нужно запомнить для пользования)),@tutby Красава,@tutby Любимую не отдают!,"@tutby Сначала выперли из Беларуси, а теперь дело завели.Кыно",@tutby Достойный ответ хунте.,@tutby молодцы-отлично,@tutby @AnTesla https://t.co/hpZt2D0swy,@tutby https://t.co/F2tcG8LxkH,"@tutby Это не просьба, а официальный запрос.","@tutby Есть в этом какое то абсурдное противоречие.
 С одной стороны каждый день талдычат ,что тихановская лидер и… https://t.co/14hMSSya63",@tutby https://t.co/zO5kmv8pCu,"@tutby Вымирающая Литва, откуда молодежь эвакуировалась мыть унитазы в четвертый рейх, занимающая первые места в ми… https://t.co/AsB4Jy4MYI",@tutby На всей территории ЕВРОПЫ не имеют иллюзий по поводу РФ только бывшие страны варшавского договора и Прибалтика.,"@tutby ""Рэжым"" такі мілы- сваёй валтузнёй прымусіў, каб яго ў чарговы раз памакалі пысай у гаўно. Мяркую, хлопчыка… https://t.co/2mPdl4C9YR","@tutby @Anna_Veduta Что же раньше,
ад замерзнет или же, обратно, от мертвого осла уши 
воскреснут?

Ставки будем?","@tutby Всё. Эту беглянку оставляйте себе.

У нас новый президент избранный.
Избрание подтверждено электронным голос… https://t.co/maPPb3QHE3",@tutby Ад и Тихановская 🤦🏻‍♀️,"@tutby Смешно когда власть пытается заставить Литву выдать Тихановскую, но при этом сами спрятали у себя Бакиева и… https://t.co/TOncg2hXKH",@tutby как неловко получилось-то... https://t.co/q1o0hZwDYe,@tutby @igiss Вау! Круто и спасибо ему,@tutby Интересно каково это когда во власти адекватные люди,"@tutby Как только в Литве отключат отопление Светлана Тихановская вернётся на родину

Сказано очень дипломатично","@tutby А @tdwallker сказал бы ""нахуй идут""",@tutby скорее Вильно вернется в родную гавань,"@tutby Друг познаётся в беде,  а вот те, кого почему-то часть населения называет ""братьями"" продолжают выдавать пал… https://t.co/GUIiDflzxz","@tutby Дырку от бублика, а не Шарапова",@tutby можно сказать что они их Нах#й послали 😁,@tutby @tdwallker здесь можешь отдохнуть,,,,,,,,,,,,,,,,,,,
23,"Болельщики НФК «Крумкачы» объяснили, почему не будут бойкотировать матчи команды.

https://t.co/jmzz42NRed https://t.co/7X1sDMdh8O","@tutby Ну такое, гайзы. Вряд ли Крумкачы высказывали свою позицию и терпели за это, чтобы потом их фанаты не поддер… https://t.co/HqxndfLZzH","@tutby 😆 ""Бо кожная гульня нашай каманды цяпер — гэта барацьба дабра са злом"" - Шахтер, батэ, динамо-брест и тд вы… https://t.co/3HuRymPXJO",@tutby Статью писал Капитан очевидность:),"@tutby По их словам, игроки с народом и поэтому будут поддерживать. Вот текст

#обосранныеСМИ https://t.co/Ckha7LQtpf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"В Лиде погиб врач-гинеколог местной больницы. Его тело нашли около одной из многоэтажек.

Родственники предполагают… https://t.co/FV0Sui32Ul","@tutby Ну такое, гайзы. Вряд ли Крумкачы высказывали свою позицию и терпели за это, чтобы потом их фанаты не поддер… https://t.co/HqxndfLZzH","@tutby 😆 ""Бо кожная гульня нашай каманды цяпер — гэта барацьба дабра са злом"" - Шахтер, батэ, динамо-брест и тд вы… https://t.co/3HuRymPXJO",@tutby Статью писал Капитан очевидность:),"@tutby По их словам, игроки с народом и поэтому будут поддерживать. Вот текст

#обосранныеСМИ https://t.co/Ckha7LQtpf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Вы хорошо понимаете логику приговоров?

Попробуйте себя в роли судьи в нашей игре!

https://t.co/Wx5l5LDtuI https://t.co/j7d67Xqopu","@tutby Ну все понятно, какая логика, такой и тест https://t.co/IZ2KzH5UXy","@tutby логіка одна.
белорус  должен умереть, ісчезнуть. все как вовік путін пожелал.","@tutby Які сэнс? У марыянетак логікі не бывае, яны рот адкрываюць у такт з гаспадаром. А гаспадар ніколі з логікай не дружыў.",@tutby Иронично,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"В МИД Литвы отреагировали на требование о выдаче Тихановской.

«Белорусскому режиму мы можем сказать — скорее ад за… https://t.co/daE8ImgVVN",@tutby Я вижу как горящие пердаки ябатек тока накаляют атмосферу в преисподней ) шах и мат ),"@tutby ""Lithuania does not extradite people undergoing political prosecution""

🇱🇹 💞 ⬜️🟥⬜️

Just like the election r… https://t.co/im9ZSaPyji","@tutby Прошу прощения, а кто на фото?","@tutby «Скорее ад замёрзнет». Спасибо, теперь это моя любимая фраза ❤️",@tutby 🤝✊💙💙💙🇪🇺🇪🇺🇪🇺✌️✌️💙💙🇪🇺🇪🇺,"@tutby Кто-нибудь скажет этому придурку, что ада не существует.","@tutby Там до него пухлый какой то чудик был. Тож мрого чего квакал. 
Лукашенко фсе. Никто грузопоток не повернпт и… https://t.co/5GaJZXPa0M",@tutby Дзякуй🤍♥️🤍🇱🇹 #Lietuva,"@tutby @dumingtups Традиционно восхищаюсь балтийцами. Молодцы. Европа страшно пострадала в МВ2, но она не жила под… https://t.co/KsJaapziPV","@tutby Как только в Литве отключат отопление Светлана Тихановская вернётся на родину

Сказано очень дипломатично",@tutby Да похер! Пусть Светку откармливают сами. Она всё равно тупая и не понимает что она всего лишь разменная мон… https://t.co/xxxG2t9VzA,"@tutby Ай, какой прекрасный ответ! Просто замечательный.",@tutby тогда специально для Литвы,"@tutby На следующий день: Лукашенко подписал указ о замораживании ада

Пресс-секретарь Лукашенко Наталья Эйсмонт от… https://t.co/nJj995vwSK","@tutby ответ, которого лукашисты достойны","@tutby Ботов нагнали уже))) ну ничего, в ЗВР ресурсов на 3 дня осталось, скоро нечем будет оплачивать","@tutby пора возвратить Вильно на Родину, в Беларусь","@tutby А кто спрашивать будит, Как барин скажет из за моря так и будит.","@tutby А как Литва может реагировать,если Тихоновская все делает по их указке?","@tutby 1) Не выдают со статусом беженца, но и возвратиться этот человек сам не может

2) Не перестанут мешать ""режи… https://t.co/mDdKe3t08U","@tutby А это чучело не в курсе что в Аду есть не только наказания огнём, но и холодом и льдом, например, Ледяное оз… https://t.co/hCsuaMbxY8","@tutby Да ваще без проблем, РБ уберет полностью транзит товаров, и пусть сидят в своей Литве. Лимитрофы блин.","@tutby Эта цветастая фраза звучит на простом языке, в недалёком будущем вам придётся Светлана собрать чемоданы...","@tutby Притча. Один человек встретил монаха и просил:
- Откуда идёшь, странник?
Странник ответил:
- Из Ада.
- И что… https://t.co/9ZFLQKNPCb",@tutby Бацяры бачу ўжо гарэзяць? Літва- пердаларазрывальная),@tutby Большой знаток условий в аду? :),"@tutby В понедельник, значит, отправят",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Тихановская созвонилась с гендиректором Yara International и призвала к давлению на Беларуськалий.… https://t.co/gy9zprs1Jz,@tutby молодец! правильная тактика!!,"@tutby 👑 Ms. President Elect 👍
Keep pressure on Yara International
@yara
https://t.co/uxLQPfASeW",@tutby Дура бл.,"@tutby Моя жена вчера звонила в оон, мус и еспч для блокировки Беларуськалия
Обещали разобраться","@tutby Она хоть понимает ,что скоро ее фамилия станет нарицательной ,как мазепа или иуда.",@tutby Тупенькая бабёнка поговорила с автоответчиком.😂,"@tutby Одно не понятно. Почему в Беларуси до сих пор нет подразделений, которые достают таких людей в любой точке м… https://t.co/wyeMkQhqtB",@tutby Цікава паглядзець на вынікі,"@tutby ТУТ одни дегенераты в комментариях.что будет с ними при нормальной власти?в концлагерь—нельзя,не гуманно.переживаю.",@tutby Ботаферма гіцае не на жарт тут. Гараць сракі - аж палаюць.,"@tutby Чучело с кем то может созвониться🤣?  Тутки, вы как обычно, родили очередной высер.","@tutby А если надавят и белкалий станет потеряв контракт, то она будет платить рабочим и скидывать деньги в бюджет?… https://t.co/V5zm1mOnh2",@tutby Ведьму пора на нары определять!!!,@tutby Коллектив беларуськалия будет ей благодарен по гроб(её),"@tutby Шо, без давления на Калий швабода не вытанцовывается?",@tutby С ее английским и отрицательным IQ я думаю что директор нихера не понял. На крайняк пиццу заказал.,@tutby А старуха Шапокляк продолжает «заботиться» о белорусах!,@tutby Что она может сказать? Марионетка в руках запада. Горемычная.,"@tutby Подумайте, 
почему Тихановская не обратилась в правительство Литвы с требованием запретить транзит?

Ведь эт… https://t.co/eElLUTDF2b",@tutby Трубку-то подняли или как обычно?..,@tutby Ну дура дурой.,"@tutby Я тоже позвонил и призвал к дальнейшей работе. Вот и посмотрите что на него больше подействует, бешенство… https://t.co/FiwhQ1z4kg","@tutby Молодец, Светлана!",@tutby Беглая каторжница призвала...,"@tutby не сработает. по той причине, что европа прекрасно видит что будет при отказе. а будет как с лднр, когда уго… https://t.co/aDt3hvlSbC",@tutby Почему она не требует запрета транзита и перевалки грузов через Литву?,@tutby Не поможет! Полагаю судьба уже решена.,"@tutby А он такой: ""дадада, будем рубить сук, на котором сидим""",@tutby чем больше такой движухи тем лучше,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Студенты Белорусского государственного технологического университета развесили листовки на стенах вуза — как напоми… https://t.co/Y8LnDiOzUp,@tutby @lYtVqSo63sJIUbc 👍,@tutby Гебремариам - эфиопка?,@tutby @directklad ✊⬜️🟥⬜️,@tutby Да не кто не хочет учится на чужих ошибках.,@tutby Стращают значит. Работают на режим,@tutby Училась здесь😊 Горжусь!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Юноша, совращенный 25-летней учительницей, требует компенсацию в суде.

Больше 700 тысяч долларов за секс.… https://t.co/UVQJboG5rg",@tutby Раньше в 13 лет в брак вступали.,@tutby Ну и лох. Я бы дальше тусовался,"@tutby Вот,вот.",@tutby Охуел совсем,@tutby Фамилия не Шурыгин случайно?,@tutby Куда катится этот мир?,@tutby Дорогие услуги у юноши. Далеко пойдет,"@tutby Где были мои совратительницы, когда я в школе учился?","@tutby Ну конечно, пока он ее жарил и она ему сосала все было офигенно. Потом под давлением родителей и органов юве… https://t.co/19hPVqokwI","@tutby Не юноша, а ребёнок, не за секс, а за преступление. Хорошо, что тутки не СМИ.","@tutby Ну это надо быть больной на голову, чтобы додуматься заняться сексом с 13 летним собственным учеником 🤦‍♂️","@tutby Кликбейт. Это не он потребовал, а его родители, пацан тр*хал бы и дальше.",@tutby Niccce!,@tutby Вот шлюха!,@tutby Раздел LadyTutBy пробивает все новное дно... ну что за кликбейт уровня деревенских журналов из кисока...,@tutby Какой продвинутый юноша!😸,@tutby https://t.co/EwbvYFV0VM Южный парк на все случаи жизни,@tutby Козел,"@tutby Я очень уважаю вашу работу. Но подумайте, пожалуйста, о том как выбираете своих фотографии. Это просто ужас и кликбейт.",@tutby Бляяааа!!! кому свой секс за 700 штук продать 😯?!!! Училка конечно отожгла🔥😃,@tutby Родители подсуетились,"@tutby Дорого он оценил свои ""умения""... 🤣🤣🤣",@tutby Красиво делает. И потрахался и деньги получил,"@tutby хорошо что у нас в Беларуси за такое еще бы доплатили, а не в суд подавали :))",@tutby вот ведь сука какая,@tutby Ля крыса,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Опыт мамы, чей сын отказался ходить в детский сад.

«Нам не удавалось даже одеть ребенка». 

https://t.co/DRz6kwxR8u https://t.co/QUY9XBgFgN",@tutby антисистемньій ребёнок.,@tutby у меня была такая же футболка) езлёная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Посмотрите на суперзащищенный Samsung Galaxy XCover 5, который не боится падений, перепадов температур, воды и пыли… https://t.co/WpbGKSJuZS",@tutby Говно,"@tutby tft экран (((
на солнце не видно будет нормально
понятно что с амолед будет дороже но какой смысл в таком те… https://t.co/NJZ2OSziMS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Президент Бразилии призвал «не ныть» на фоне рекордной смертности от коронавируса.

https://t.co/7rIGsEVv5X https://t.co/TuP3GRZigR",@tutby Психоз же ну,"@tutby Это он прямо здорово помог, да",@tutby Ещё один плешивый ублюдок! «»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Синоптики рассказали о погоде в выходные и 8 марта: мокрый снег, метели, гололедица и ночные морозы.… https://t.co/Cay5boBebB",@tutby Ой всё!,"@tutby Какая прелесть. Весна пришла.🥰
#сарказм разумеется",@tutby снег падал на стекло чистым и становился грязным,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Бизнес-союз резко ответил на предложение МНС побороться с зарплатами в конвертах.

Не с того начали.… https://t.co/lDwmo88B5s","@tutby Латушка ж расказаў пра зарплату ў канвертах, цікава, ці аштрафуюць адміністрацыю прэзідэнта, альбо можа нава… https://t.co/Zgrn0OHP1L","@tutby Согласен, для вас это актуально. Более чем😁",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Жителя Новополоцка, который осенью отстоял БЧБ-флаг на своем балконе, недавно все же осудили.… https://t.co/dEO2TBRRr5","@tutby 💐💐💐💐💐

❤️❤️📢❤️❤️

⬜️⬜️⬜️⬜️⬜️
🟥🟥🟥🟥🟥🩸 😓 😢
⬜️⬜️⬜️⬜️⬜️

❤️❤️🥊❤️❤️

💐💐💐💐💐",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Где искать «длинные» рублевые вклады под 19−20 процентов годовых?

https://t.co/OhJF0N2fdk https://t.co/qC9tKemJAN","@tutby На дне белорусского чуда,  глубже Бикини Ботон",@tutby а смысл?,@tutby Скажите пожалуйста где искать деньги,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"15-летнего подростка, пропавшего во вторник в Минском районе, нашли.

https://t.co/exyGdivtk3 https://t.co/2WDF5aAMAP","@tutby А написать, что нашли живым, жопа отвалится?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Лукашенко освободил от должности своего помощника — инспектора по Минской области.

https://t.co/6YcC8P7maX https://t.co/Ye69VLIR2M",@tutby Плохо помогал,"@tutby ОСВОБОДИЛ от должности - это что, получается, он его до этого в плену держал?",@tutby На хуй идут,@tutby https://t.co/asph6qmaXc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Посольство США поддержало церковь «Новая жизнь», которую лишили здания.

https://t.co/Jv8Lijp1I4 https://t.co/6TeC56v07s",@tutby Недавно они Навального поддержали),"@tutby Ну как же без американцев? Все их беспокоит и всех им жалко. Вот сердобольный народ. Застрелили преступника,… https://t.co/scEFpbkMp7","@tutby 😆 Ну теперь с такой да поддержкой, ох как жизнь станет лучше)",@tutby Палят всех агентов https://t.co/dijnh5ihKX,"@tutby Не церковь, а помойная секта по привлечению предателей Беларуси паскудить стране",@tutby Запад с нами!,@tutby Религия — опиум для народа.,@tutby Сектантов вы хотели сказать?,"@tutby Не церковь,а секта влияния.....",@tutby Американский дипломат выразил обеспокоенность....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Так у зала суда близкие встречали волонтера штаба Бабарико Антона Беленского.

Поддержать Антона пришел и отец Мари… https://t.co/upbvbpoIVd","@tutby ""Приговор вступит в ЗАКОННУЮ силу..."" аж коробит от такой формулировки.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Читатели пишут, что такой «плюшевый десант» появился на горе Дзержинской — самой высокой точке Беларуси (345 метров… https://t.co/61dTHn12Fg",@tutby Фееричные д...бы!,"@tutby Хорош уже позорить страну. 
Люди не в теме, посмотрев такие ""новости"" будут думать, что в Беларуси повально… https://t.co/gSNeuwzmNR","@tutby мяркую, складнік галоваў мядзведзікаў і неверагодных, якія іх туды прынеслі, досыць ідэнтычны.
еднасць. 
едн… https://t.co/8aJjT0lZwh","@tutby Боты опять сели на бутылку и кончили)))) Приятно!
Раз выродков, ублюдков, мразей, гопоту, мусорню прикормлен… https://t.co/egt3EESWH6","@tutby бля,вот же ебанутые...","@tutby Мне кажется, или сзади на фото убегающий в сторону Польши макей в одних труханах?",@tutby занятая нечем ),@tutby @Parbusse @looter_99 плюшевый десант уже не тот!(,"@tutby И на каждой плюшке бчб-тряпка коллаборантов. Феерично, йопта!",@tutby Ну да. Цветочками и мишками. Ага.,@tutby Весной рэжыму хана... Это факт ☝️,@tutby Тутбаевцы постарались!,"@tutby Да это же НАТОвское смертоносное подразделение 'зундер-плюхен-командос', мало им гусеницами лязгать под наши… https://t.co/hnn0Ogqhq9","@tutby Боты, к бою","@tutby Бчбесы гадят везде, где только могут... https://t.co/m51JqkKEDN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Минчанки хотели обратиться к депутату, а попали на Окрестина.

«Дочка видела, как нас забирали. Всю ночь плакала».… https://t.co/JPdV0TqKDa","@tutby Читайте не TUTBY арестовали за то что бедная мама пекла пироги для бабушки.

Сочетание наличия детей, пирого… https://t.co/gRjQ6F7jwM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Волонтеру штаба Бабарико Антону Беленскому дали 1,5 года «химии».

https://t.co/dYx0QfrINF https://t.co/09yCSiCo8A","@tutby Читайте не TUTBY арестовали за то что бедная мама пекла пироги для бабушки.

Сочетание наличия детей, пирого… https://t.co/gRjQ6F7jwM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Что происходило в феврале на валютном рынке?

Предприятия закупались валютой, население ушло в безнал.… https://t.co/iXfPqH5vci",@tutby А сбережения населения - ушли в (к)анал(изацию).,"@tutby ""По итогам прошлого года безналичная покупка валюты населением превысила продажу на 1,822 млрд долларов."" ай… https://t.co/86JN2tgIqs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Генпрокуратура направила в Литву запрос о выдаче Тихановской, а в суд — дело «о тайной вечере».… https://t.co/0oPYuAwxeH","@tutby Яматка в бешенстве, говорят устроила истерику","@tutby -Хто ""дапамог"" Ціханоўскай ""схавацца"" ў Літве? 
-Аграном! Ён сам пра гэта распавядаў не аднойчы! Яшчэ і грош… https://t.co/atcz9s6d7t",@tutby А как она оказалась в Литве? Кто ей помог там оказаться? Почему их не интересует этот вопрос?,"@tutby Так Литва ж заранее показала дулю, не?",@tutby А инструкцию к губозакаточной машинке они уже прочитали?,"@tutby Какая вечера в 10 утра?
Встреча группы по захвату зданий вы сравниваете с последней вечерей Христа?

То что… https://t.co/UTN2E93tSn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Сможете назвать всех вратарей «Динамо» в КХЛ? 

Даем шесть минут!

https://t.co/Y2xvgePnSo https://t.co/ENzsQJoxed",@tutby пусть идут нахуй,"@tutby Наврятли их кто-то знает ! Хоккей не так уж и популярен в Беларуси, в основном это просто развлечение Лукаша… https://t.co/WhRiKfbZx4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"На проспекте Независимости в Минске ДТП: столкнулись не меньше трех авто.

https://t.co/xgUtnh80bF https://t.co/WYZ9nVXWsh",@tutby пусть идут нахуй,"@tutby Наврятли их кто-то знает ! Хоккей не так уж и популярен в Беларуси, в основном это просто развлечение Лукаша… https://t.co/WhRiKfbZx4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Суд огласил приговор водителю, который прокатил на капоте гаишника: 10 лет колонии.

https://t.co/of1kZ1NT6J https://t.co/8iyPoDdZ0g","@tutby Слушайте, а зачем вы Тихановской на аватарке усы пририсовали? Это просто хулиганство какое-то.",@tutby Надо пойти еще пофоткаться с ментами 🤦,"@tutby Заграницей после такой х**ни многие политики и чиновники остались бы без работы, а менты бы сидели. У нас же… https://t.co/NawmYfZahm",@tutby Поддерживаю! Можно было и больше дать.,"@tutby Давайте дальше сидеть на жопах и говорить, как всё плохо, пока чел по этапу пойдёт. Или хоровод замутим?","@tutby Что ещё нужно сделать власти, чтобы...
Хотя....",@tutby Мрази,"@tutby Водитель полностью осознавал общественную опасность своих противоправных действий, направленных на лишение ж… https://t.co/0uhNzOyHtd",@tutby Судя по комментариям где-то прорвало канализацию,"@tutby Да, щедрые ребятишки трудятся в наших судах. Они, видимо, рассчитывают, что нынешний режим будет вечный. Так… https://t.co/3GXv85drWD","@tutby Тутки вонючки, очень надеюсь, что вас будут так катать. А преступнику заслуженное наказание. Радуйтесь таком… https://t.co/e8eLVc4PT3","@tutby Вот же мрази! Если народ не соберётся и не прогонит Лукаша, то тысячи невинных людей будут сидеть долгие год… https://t.co/6noUTNfBxN","@tutby Млять, не сбил, а прокатил на капоте!!! Вы совсем там 0)(₽енели?","@tutby Человек, спасавший свою жизнь от извергов в масках, получает 10 лет. В этой стране самоборона - это особо тя… https://t.co/0BQbN6zaVl","@tutby Захотите покататься, проститутки, пишите в ЛС. Привезу баян. Под баянчик!",@tutby нормально так.,"@tutby Просто ах#енно. Ему надо было оставаться  там и ждать, пока ему кости перехерачат? Человек защищал свою жизнь от бандитов","@tutby коллектив тутбай уже давным-давно должен был шить рукавицы, по статьям, связанным с угрозе суверенитету госу… https://t.co/s6UbqDzWec",@tutby ПроститеТУТки что бы вас с Золотовой так катали на копоте до конца дней,@tutby На требование остановится совершил  умышленый наезд на сотрудников милиции обвинён по  ст. 14 (Покушение на… https://t.co/X1svO7ubwH,@tutby Норм,"@tutby Не суд, а судилище😡",@tutby Отлично! Хороший срок!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Золотовалютные резервы в феврале продолжили снижение: долги и спрос на валюту.

https://t.co/xyxQOMiZ7S https://t.co/zCnwxnoMqi","@tutby - Шеф, у нас дыра в резервах!
- Ну хоть что-то у нас есть в резервах.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Мария Колесникова стала лауреатом премии за мужество Госдепа США.

https://t.co/0544x1Sltj https://t.co/jAOrbRVipC",@tutby А зачем ей премия в сизо? В ларьке отовариваться?,@tutby Понятно от куда руки растут,"@tutby И где те, кто смеялся над словами Лукашенко, о центрах управления и источниках финансирования этих анальных… https://t.co/4wWlLZUnnW",@tutby Заслуживает уважения!,"@tutby @belarusian @tutby а вы специально написали ""госдеп"", а не ""гос. департамент"", чтобы мемнее смотрелось?","@tutby Спасибо, братья","@tutby это фейк - слово ""мужество"" сексистское, в США неприемлемо.
радфемки, предлагайте свой вариант названия прем… https://t.co/Ih8CV9OorW",@tutby премия за мужество Госдепа США 🤣,@tutby За заслуги перед метрополией?,@tutby А Лосик? Лосику опять ничего не обломилось? Вот же суки....Человек даже голодал.,@tutby А почему сумма премии не оглашается? Top secret?😁,"@tutby Это наверное для того что бы развеять у суда сомнения о работе на вероятного противника, и связях с Госдепом. https://t.co/aHAznUJsx4","@tutby Теперь Путин должен Трампа наградить, что бы убрать подозрения https://t.co/sDoxuvGEsT","@tutby То чувство, когда противник ракеты которого нацелены на твой дом, награждает своего агента https://t.co/D7LbxEY1ZB","@tutby А ботов-то под новостью, как собак ))
У них на определение слова и сочетания вроде «госдеп», «сша», «ес», «д… https://t.co/c9qiTGi1FC",@tutby Пусть на счёт Беларусбанка переведут.,@tutby 👍,@tutby Надеюсь Маша выберит вместо приза - санкции,@tutby На пятую точку хоть кг золота повесь Колесникова! Была ты грязной девкой с майдановским штампом и останешься… https://t.co/UNVmWcTFZ3,@tutby Свои люди... https://t.co/u0XF4Mixi8,"@tutby то что она выглядит как мужик не дает ей никаких преимуществ при выдвижении на премию, имхо.",@tutby Госдеп США? Я прям вижу сюжет для БТ🤣,"@tutby Легализуют наличман? Это хорошо, значит другие каналы патиху перекрываются😁","@tutby хозяева наградили, а мы посадим",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
