,tweet,reply1,reply2,reply3,reply4,reply5,reply6,reply7,reply8,reply9,reply10,reply11,reply12,reply13,reply14,reply15,reply16,reply17,reply18,reply19,reply20,reply21,reply22,reply23,reply24,reply25,reply26,reply27,reply28,reply29,reply30,reply31,reply32,reply33,reply34,reply35,reply36,reply37,reply38,reply39,reply40,reply41,reply42,reply43,reply44,reply45,reply46,reply47,reply48,reply49,reply50,reply51,reply52,reply53,reply54,reply55,reply56,reply57
10,"Эмоциональный разговор учителя и школьника по поводу БРСМ попал на аудио

«Ты против нашего государства?»… https://t.co/RK51cNCkSu","@tutby С - штаблинасьць. Ничего не меняется. Лет 17 назад, будучи школотроном, классный руководитель мне тоже проро… https://t.co/663nGPxf5m","@tutby Государство,это народ!Но никак не власть.
Власть в нормальном обществе должна менятся,а народ и есть основа любого
государства.",@tutby С ног на голову,"@tutby В США перед уроками все школьники дают клятву флагу.
Давно пора ввести это же самое в Беларуси https://t.co/romVjgOC1D","@tutby надо уточнять, какого государства. учитывая что в беларуси все больше командуют россияне, скоро ябатек будут… https://t.co/WyibdfBeh0",@tutby Тупая пизда,"@tutby Есть отличные учителя ,а это позороще!","@tutby А если государство против людей, что делать?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Стала ли «ласточка» доступнее? Сравнили цены на машины сейчас и 20 лет назад.

https://t.co/B61PBhGEZm https://t.co/jTg5tk3sOv","@tutby В нашей деревне 20 лет назад 15 соток земли стоили 200 долларов, теперь цены начинаются от 10 тысяч долларов… https://t.co/qv7Wp8m66l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Неожиданные продукты, которые повышают холестерин.

Почитайте, чтобы знать!

https://t.co/pKvf0t5VYD https://t.co/5s0sOoTgxi","@tutby В нашей деревне 20 лет назад 15 соток земли стоили 200 долларов, теперь цены начинаются от 10 тысяч долларов… https://t.co/qv7Wp8m66l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Коронавирус после прививки: как сильно люди болеют и почему это происходит?

Некоторые привитые сообщают о том, что… https://t.co/egMjuDypIo","@tutby Вакцинация защищает от тяжелой формы и способствует более легкому течению заболевания. Но это не гарантия, ч… https://t.co/31f4aRFsao",@tutby Вот шли мазлы трепливые.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"На рабочем месте задержали врача Руслана Бадамшина. 

Где он сейчас находится и по какой причине его забрали — неиз… https://t.co/i5lMKnWjj6","@tutby 💐💐💐💐💐

❤️❤️📢❤️❤️

⬜️⬜️⬜️⬜️⬜️
🟥🟥🟥🟥🟥🩸 😓 😢
⬜️⬜️⬜️⬜️⬜️

❤️❤️🥊❤️❤️

💐💐💐💐💐","@tutby Скоро всплывёт где-нибудь в жопе мира Подляского воеводства, с ""интереснейшим"" интервью о ""успешной жизни"" в Польше.",@tutby Ну это вам не санкции против санатория Беларусь вводить где детки лечатся с ДЦП как это сделала Тихановская… https://t.co/vyTpfl5kD6,"@tutby зачистка. тотальная. по всей стране...ой...шо, т.н. журналисты не видят что ли?",@tutby Не дай Бог к такому врачу попасть! Для таких ценность человеческой жизни ушла под тень тутбая и лайковой жиз… https://t.co/GaIJKAron5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Россия и Беларусь договорились о создании трех учебно-боевых центров совместной подготовки военнослужащих.… https://t.co/6XgjRo5brg,"@tutby Ну разумею што трэба, раз мы ў АДКБ, але навошта гэтыя базы на нашай тэрыторыі?! Наша краіна не мае такога т… https://t.co/pI4ntEkgbB",@tutby Красауцы и кадырауцы,"@tutby Не путайте Россию и Беларусь с бандитами, которые о чём-то договариваются.",@tutby Это уже вежливые люди пожаловали?,"@tutby лукашенка уже публично игнорируется россиянами. сначала мвд напрямую договора с москвой подписали, теперь ро… https://t.co/kVuKckvOUh",@tutby Российские солдаты под Гродно? Это уже независимость? Или всё-таки измена родине?,"@tutby Белвояки шлюшками при россиянах, за что и боролись.","@tutby пусть сначала тех 200 вагнеровцев, что в лесах потерялись, найдут. А то новых наплодят, и те тоже потеряются","@tutby После того, как с молчаливого согласия России натовцы разбомбили Сербию, разрушили и разграбили Ирак и Ливию… https://t.co/OK2QertQVT",@tutby Два деда договорились о создании трех учебно-боевых центров по подготовки подавления своих народов..,@tutby Вот вам и база!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Спросили у эксперта, куда выгоднее всего пристроить заначку, чтобы не остаться в минусе, а может, даже и заработать… https://t.co/Z8PxzYitry",@tutby Баксы покупай,"@tutby эксперт у вас так себе, прямо скажем",@tutby В государственные облигации министерства финансов РБ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Маргарита Левчук — оперная певица, которую раньше можно было услышать в Большом театре, а сейчас девушка троллит си… https://t.co/WtMRBtVvP2",@tutby ⬜️♀️⬜️  ❤️,"@tutby От жаж ботам пердакі ірве))) Рыта - цуд! А вам, боты ватніцкія - да веткі з саладухам і блязнятамі, з палова… https://t.co/U4ahQPef90","@tutby Люблю её!
Выходи за меня, Маргарита 🤗",@tutby Убожество!!!,@tutby Силовики и чиновники в курсе такой смелости?,"@tutby Вата завидует, поебывая своих страшных и озлобленных женушек))","@tutby Галасы троллят троллей )

https://t.co/K7xl8aDZty","@tutby Жалкое зрелище.

Разменять свою жизнь на скомороха.","@tutby Очень смело тролить из Литвы,  прямо как котлетная фея","@tutby о, хоць на чалавека падобна без жахлівага опернага мэйка.",@tutby По граблям Маскаковой пошла. Закончит позорищем на ток-шоу.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Лукашенко признался, что наблюдает за «беглыми», которые хотят «поднять людей к весне».

«КГБ вам в ближайшее время… https://t.co/YZyPVy0TQl","@tutby А мозгов вам не завезли, лукаботы?",@tutby Дайте деду таблетки,@tutby Меня одну подташнивает?,"@tutby Это же как погранцы облажались, что столько тратила и пластита пропустили... зря бацька из кормит",@tutby Вот же пиздобол 🤦‍♂️,@tutby На мейсцы жыхароў Менска я б напалохаўся! Калі размова паішла пра пласціт з-за межы...кароч-лепей у мятро не ездзіць... пакуль...,@tutby Принимали на этой стороне беглые вагнеровцы из лесов?,"@tutby Удивительно, как ещё не устроили ни одного взрыва за эти пол года?","@tutby Президент ОМОНа такую пургу нёс на вело заводе, что просто стыд и позор😪",@tutby А термит? А сахаруха?,@tutby ну так и поверили епта,@tutby Я так понимаю свозилы тараканьи силы. Как с «Белым Легионом» когда БТ-шники предоставили киношный пластиковы… https://t.co/Fckj4bxAPg,"@tutby Интересно есть ли такие которые ещё верят в эти сказки про"" Многа инцирэснава"".",@tutby В каком примерно году его болтовня превратилась из материалов для будущего уголовного дела в материалы для б… https://t.co/YYFtzASSyW,@tutby А новую партию вагнеровцев тоже завезли? Или уже те оттаяли и готовы к бою? 🤣🤣🤣🤣🤣,"@tutby стоит старичку напомнить, что он передал внешние границы под контроль россиян...так кто и откуда ввез. видим… https://t.co/GxIllkUP8A","@tutby Абяцанкі-цацанкі, а дурню - радасць.",@tutby И сахару.,"@tutby Летом уже тоже везли с Украины, только вот ни доказательств, ни дел мы так и не увидели","@tutby Будет, очэнь антирэсна или нет ?","@tutby Что бы он не сказал, все против него","@tutby Да никто не сомневается, что Рашка омоновцам и тротила, и пластита завезли.",@tutby Когда уже его усыпят?,@tutby Из его неизданных «рассказов» можно уже двенадцатитомник выпускать... :),"@tutby Брехать, не мешки ворочать...","@tutby А сколько лапши,  на следующей неделе все скажу,  железом по стеклу,  и про вагнеровцев в лесах,  как обычно 😉",@tutby Вестник из дурки,"@tutby Ад аўтара "" я сажусь в брэхалёт, а амерыканцы, ані жэ сразу с космаса эта відзят....""",@tutby Только кто поверит?!,@tutby https://t.co/dKfo9H3Nlt,@tutby https://t.co/JYceuCSHN3,@tutby Долбоеб,@tutby Кто понял тот понял https://t.co/O4bAj6R4qb,@tutby Про убийство Бондаренко обещал «очччень интересно». Где?,@tutby кто в это поверит?,"@tutby А можно узнать, как этот тротил удалось перевезти через границу?","@tutby Эта песня хороша, начинай с начала. Че там с белым легионом и их  смертоносным страйкбольным вооружением, ло… https://t.co/4Vt94qzBnj","@tutby Как только 200 вагнеровцев доловит, так сразу и расскажет - добавил сказочный таракан.","@tutby Если в страну ввозят такие вещества, значит не работает погранслужба это опять же характеризует его как упра… https://t.co/i7RMWlJv4N","@tutby люди , не ходите сейчас лучше в метро . этот больной придурок опять за старое взялся",@tutby а лисички взяли спички...... и свислочь нахуй подожгли!!!! https://t.co/2XkGWqRNZp,@tutby Пластилина,@tutby Мозгов только для них никто не завозит(,@tutby Скорее бы уже новый сезон «Ник и Майк»,@tutby И даже пастилы,"@tutby Лучше бы тебе таблеток завезли, велосипедист хуев","@tutby вот, куда кгб бюджетные средства тратит.. лучше б выделили на химию импортную раковым больным, а то тротил они завозят с пластитом)","@tutby Какую пользу принесет тротил в деле гипотетического свержения власти?
Или следует понимать так, что в метро надо переставать ездить?",@tutby КГБ после этих слов лихорадочно ищет где взять столько тротила и пластида для съёмок,@tutby https://t.co/kpacFIA9E7,@tutby https://t.co/jx8fVm4RYR,@tutby На хуй идет,@tutby еще не все дохлые крысы всплыли а они уже тротил завозят фурами.. вы серьезно @KGB_Minsk ? вы ещё жып с гран… https://t.co/84weW54cL9,@tutby Весеннее обострение. Все ок,@tutby Вагнеровцы рассказали?,@tutby Боится 😸,"@tutby Очередное ""будзиць очынь интэрэсна""... Иди таблетки пей, уёбок."
19,"Украина опять внесла Беларусь в «зеленый список» по COVID-19.

Можно ехать без ПЦР-теста и карантина.… https://t.co/gmaiTg0TuH",@tutby Хохлы не хотят помирать в одиночестве.,"@tutby автобусы есть? или только авиа?
кто нибудь в курсе?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
